Size,Bedrooms,People,Electricity,Water,Expense
501,2,2,57,11.3,7442
503,1,1,154,9.3,6385
504,1,2,114,9.3,6396
505,1,2,151,14.3,6619
509,1,2,175,10.2,7555
509,1,3,200,14.4,8743
510,1,3,170,13.5,6619
511,1,1,83,10.6,6722
516,2,2,156,11.5,7544
519,1,1,200,10.5,7332
521,1,1,93,8.5,5925
527,1,1,83,10.4,6968
534,1,3,180,11.2,8749
535,1,1,166,8.8,6509
536,1,2,130,10.9,7191
538,2,2,183,12.8,7742
540,1,2,185,11.4,7819
542,1,1,184,6.8,6627
546,1,2,121,9.0,8802
547,2,3,224,9.7,8406
550,1,1,121,9.1,6892
550,1,1,77,8.0,5309
550,1,2,221,8.8,7247
555,2,4,191,15.7,10429
560,2,3,154,12.6,6671
562,1,1,122,10.6,7072
564,2,4,191,18.8,10830
566,1,2,243,12.1,7009
568,1,1,154,6.6,5117
574,1,1,163,12.3,7520
575,1,2,173,14.2,7472
577,1,1,80,9.6,6404
579,2,2,95,10.1,6168
582,1,3,192,12.5,7786
589,1,2,151,12.2,8101
589,1,1,170,8.3,5236
590,1,1,143,8.5,5503
592,1,2,183,10.7,7455
594,1,3,168,13.7,7110
595,1,2,196,11.0,8155
598,2,3,132,15.5,9988
603,1,2,163,12.7,8659
606,1,1,118,9.0,5562
610,1,2,178,12.9,5426
612,2,4,152,15.1,9227
614,1,2,192,12.8,9322
616,1,1,167,9.0,6165
616,2,3,151,13.3,7324
617,1,1,195,9.7,6373
619,2,3,179,13.8,8434
622,1,3,131,13.4,6663
625,1,1,158,9.1,6613
626,2,3,222,11.0,9392
627,1,1,151,7.5,6767
629,1,2,186,15.0,7088
630,2,2,193,13.0,9745
631,1,2,150,8.6,7070
633,1,1,98,10.0,6959
637,1,2,139,13.9,8958
638,1,1,152,8.4,7281
643,1,1,139,8.5,5197
646,1,2,229,12.3,7662
653,1,2,195,11.7,7428
654,1,2,182,9.9,8017
660,1,2,232,12.7,6727
661,1,1,156,11.7,7099
665,2,4,174,15.2,8597
672,1,1,184,10.0,7171
680,2,2,179,16.7,9065
686,1,1,120,7.6,6415
689,1,1,96,10.8,7023
689,1,1,124,7.4,7320
690,1,1,114,9.8,5890
693,2,2,223,11.1,9085
697,2,2,205,10.6,8472
697,1,1,122,8.8,5431
700,2,3,181,14.9,11396
701,2,2,175,12.0,6242
701,2,3,192,16.2,8692
702,1,1,170,10.0,6996
702,2,3,226,13.0,9416
704,2,2,170,11.9,6489
706,2,3,240,15.0,9216
716,3,4,186,17.0,9298
723,1,1,178,7.0,7952
724,1,1,177,10.3,5983
725,1,2,240,10.5,7554
728,2,2,195,12.7,8052
732,1,1,165,6.1,5786
734,1,3,204,15.0,7986
735,2,1,161,9.5,8279
735,2,4,205,18.0,10994
741,2,2,176,10.3,7572
742,1,1,179,11.3,8274
745,2,2,221,12.0,9532
748,3,5,249,19.6,12392
749,1,2,144,10.9,7966
753,2,3,151,13.3,7415
755,1,1,172,10.6,7665
760,2,3,192,11.3,8474
762,1,2,242,11.9,8407
764,2,2,136,14.1,8475
767,1,1,94,9.6,5857
768,2,2,171,14.8,8861
780,1,1,136,12.3,6039
784,1,3,185,14.6,8516
793,1,2,286,11.3,8021
801,2,1,178,10.7,7942
802,1,3,186,16.1,8949
817,2,2,168,12.6,8207
819,2,2,186,12.3,7891
820,2,2,173,11.0,8758
830,3,3,220,15.1,10964
833,1,1,185,11.6,6897
835,1,3,140,12.7,9574
836,2,2,150,11.0,9109
837,2,3,242,14.0,10108
837,2,3,214,16.9,9653
845,1,1,168,9.2,8267
855,2,3,219,15.7,10146
856,2,4,218,17.3,10964
857,2,2,252,13.0,9041
859,2,4,242,17.5,11370
862,2,2,179,16.7,8598
864,2,2,194,7.4,7977
869,2,3,253,14.1,9812
872,2,2,144,12.5,8777
873,2,3,166,16.8,8601
875,2,2,163,11.4,7623
878,1,3,272,16.3,9041
879,1,1,231,5.5,7017
884,2,3,240,15.2,10097
